x,y,prediction
-117.75218,-44.765297,0
3.2233713,94.65508,1
-80.08716,-69.56336,2
-75.59356,65.00905,3
15.9573965,125.094986,4
2.753329,23.100075,5
54.782387,-74.2604,6
79.69059,-6.9318714,-1
47.949326,52.3179,7
47.069653,56.157433,7
-37.42428,97.14441,151
26.163897,-69.46713,8
-14.199804,-82.385544,-1
26.280573,-39.530334,115
-52.68796,63.068027,-1
49.48497,11.955601,159
-18.966187,-6.0665293,9
-12.975243,-71.34678,-1
-84.10608,43.928066,10
2.7992055,40.679348,11
13.931206,-130.06409,12
-30.108143,117.68854,13
-57.624985,-62.116287,14
17.878286,114.18387,15
83.28612,-59.971104,16
-86.02239,34.04511,10
31.181198,-83.68917,17
-22.401098,-91.83613,-1
11.201333,-7.702948,-1
-50.558353,38.203255,-1
46.479034,55.42872,7
49.814514,57.58438,7
37.505848,-12.923527,-1
-29.426306,59.289036,18
6.5187793,-100.85228,108
113.928986,-42.53249,-1
-47.10974,-7.4141083,98
-14.632042,51.38325,-1
-80.61159,67.83672,-1
-88.16285,-0.9290539,-1
10.139657,-68.2706,-1
-26.134417,-68.25683,-1
123.15517,-36.4395,19
-62.916718,32.664314,20
56.543877,-49.56754,-1
49.313435,55.650394,7
-84.76223,-90.05405,21
55.277676,-55.06156,55
-46.925358,5.610399,22
-43.920296,-82.23962,23
91.155754,5.490394,24
-46.71746,8.613584,22
-7.7890186,7.1057944,25
-43.11507,67.264755,-1
84.91378,-24.405678,-1
-13.99744,22.200567,26
-28.08636,38.075825,27
32.22173,-56.48306,28
121.838196,-35.80238,19
-50.091087,-63.285732,-1
-98.75352,13.745357,29
-81.150826,57.56403,30
-26.20668,-23.100473,-1
-48.551094,-119.96107,31
-94.12217,-43.58983,32
53.84173,-114.559586,-1
-50.661175,38.319183,-1
76.78566,-96.64061,33
-14.338936,-109.43169,-1
-117.48942,16.00791,34
86.87398,-45.385582,58
-32.25692,70.16371,-1
-72.66484,-34.57235,35
111.42225,42.642834,36
-43.730434,16.467247,153
38.637833,101.398636,37
92.31251,-75.220924,38
12.796194,-0.5711044,39
27.542946,17.828997,40
20.929916,118.08827,-1
49.72449,56.478897,7
-36.405846,-86.27572,23
9.1374445,-76.5009,89
51.381973,52.660225,7
-1.9122558,-53.41884,41
-51.96003,6.18228,-1
-19.473782,-6.0309205,9
-52.53586,52.38427,-1
-84.090904,-26.31373,-1
-44.99397,-34.217506,42
-24.942957,45.424297,-1
-48.59653,99.23647,43
-123.33928,30.25292,44
-73.34785,-23.718538,45
-69.668076,77.199104,46
-80.44773,-1.375836,-1
47.145287,52.80088,7
-62.454044,-68.26202,47
-27.662937,-79.40437,48
-72.47955,93.50516,-1
34.949917,-1.9524302,-1
-2.4205985,-2.7166576,-1
113.82469,41.067547,36
27.919909,4.8050528,-1
-59.755413,90.87891,-1
73.00247,17.15641,49
122.67285,-9.553163,50
-102.53653,-23.85266,51
49.785088,52.506237,7
-89.48581,-35.01551,-1
-65.648735,75.42973,52
-64.576805,14.293928,-1
-100.88587,-27.88648,51
-8.48649,39.049953,-1
-49.722786,-41.958763,-1
-114.323845,24.44618,-1
-72.86821,-73.7234,53
-74.649216,13.11587,54
-77.66299,13.126702,54
50.615757,-97.36899,-1
27.272469,17.84674,40
57.044044,-61.04399,55
-4.061343,-71.71226,56
55.25014,-55.12832,55
48.79419,52.96702,7
55.45391,-118.698975,57
81.75013,-39.099556,58
37.749287,-112.53553,59
66.32825,97.8111,60
57.279575,12.186428,61
-126.91342,-33.095325,62
47.968372,53.319332,7
-16.765985,-99.5458,63
-25.221575,-76.18178,48
-36.35166,-86.28535,23
-38.504536,-56.328327,-1
45.59407,53.015102,7
123.56399,-8.851058,50
-47.439865,-71.47041,-1
108.51411,11.192711,-1
-98.64189,-29.25026,51
-13.287346,-71.34375,-1
-69.85903,70.242294,46
-122.85439,21.161535,-1
-101.09012,-12.38296,64
-62.05102,31.380602,20
49.865784,51.4168,7
-59.774654,-88.18426,65
-28.099232,97.43164,66
20.318644,-83.07229,67
-53.016487,94.65288,161
49.205967,54.594776,7
-62.944286,32.562088,20
-102.44997,-37.018192,51
47.007442,51.639107,7
-37.711956,72.4674,68
-73.62633,-20.646782,45
103.02332,-63.188,69
-82.26461,89.326004,70
-70.69018,73.83885,46
7.2218847,75.458565,71
-13.586256,-96.40521,63
-112.43261,-7.265485,72
-53.11126,62.980686,-1
3.652648,23.066664,5
-7.6954317,22.749325,-1
-51.404423,81.85354,111
30.158579,-54.227116,28
-38.65804,52.545258,73
45.61792,-20.717327,-1
-65.3923,-46.438927,35
-2.194677,-76.33588,74
27.099026,17.47342,40
-69.19636,-44.612606,35
86.78817,-45.43271,58
70.20625,-30.998032,75
