food_item,serving_size,calories (kcal),protein (g),protein (g),protein (g),protein (g),carbohydrate (g),sugar (g)
닭갈비,400,595.61,45.9,25.8,45.9,25.8,44.9,21.2
닭꼬치,70,176.72,11.56,8.57,11.56,8.57,13.35,3.15
더덕구이,100,184.0,3.1,5.2,3.1,5.2,31.1,11.6
소양념갈비구이,300,989.15,60.1,71.6,60.1,71.6,26.2,13.9
양념장어구이,150,433.35,30.77,30.56,30.77,30.56,8.8,4.18
임연수구이,250,494.0,53.8,29.4,53.8,29.4,3.5,0.0
햄버그스테이크,200,457.7,26.96,29.65,26.96,29.65,20.76,5.33
황태구이,200,437.57,47.8,15.4,47.8,15.4,26.9,14.2
훈제오리,250,797.14,43.06,64.07,43.06,64.07,12.08,0.27
굴국밥,650,683.0,42.4,17.8,42.4,17.8,88.4,0.3
김치국,450,89.0,5.4,2.8,5.4,2.8,10.5,2.9
떡만둣국,700,624.92,20.06,11.32,20.06,11.32,110.71,0.16
만둣국,700,434.05,21.43,17.44,21.43,17.44,47.83,3.05
맑은감자국,700,221.0,8.3,5.5,8.3,5.5,34.6,5.2
무된장국,450,104.0,6.1,2.4,6.1,2.4,14.7,5.9
미소된장국,150,38.0,2.8,1.8,2.8,1.8,2.8,0.7
바지락조개국,550,157.0,22.0,3.1,22.0,3.1,10.1,1.3
뼈다귀해장국,1000,714.0,74.6,35.7,74.6,35.7,23.4,5.7
선지해장국,1000,312.0,49.3,5.4,49.3,5.4,16.7,3.9
소고기무국,400,123.0,14.2,4.0,14.2,4.0,7.8,3.5
시래기된장국,450,99.0,6.7,3.1,6.7,3.1,11.0,1.3
우거지해장국,600,154.38,11.9,5.9,11.9,5.9,13.5,2.5
우렁된장국,500,245.0,24.6,7.7,24.6,7.7,19.2,3.6
홍합미역국,650,167.0,19.7,4.7,19.7,4.7,11.6,0.0
황태해장국,600,181.7,24.5,6.8,24.5,6.8,5.7,1.5
고추잡채,200,256.77,10.99,12.01,10.99,12.01,26.17,2.09
난자완스,200,346.25,21.63,20.35,21.63,20.35,19.15,0.49
라조기,200,398.99,20.66,23.49,20.66,23.49,26.23,0.15
생선물회,800,577.97,34.3,12.3,34.3,12.3,82.5,52.0
